quarter,epsActual,epsEstimate,epsDifference,surprisePercent,ticker,fetch_date
2024-12-31,6.39,6.34521,0.04,0.0070999996,NOC,2025-12-31 17:01:30.774640
2025-03-31,3.32,6.26313,-2.94,-0.4699,NOC,2025-12-31 17:01:30.774640
2025-06-30,8.15,6.79539,1.35,0.1993,NOC,2025-12-31 17:01:30.774640
2025-09-30,7.67,6.45536,1.21,0.1882,NOC,2025-12-31 17:01:30.774640
2024-12-31,1.29,1.27919,0.01,0.0085,MO,2025-12-31 17:01:34.648565
2025-03-31,1.23,1.18813,0.04,0.0352,MO,2025-12-31 17:01:34.648565
2025-06-30,1.44,1.3848,0.06,0.0399,MO,2025-12-31 17:01:34.648565
2025-09-30,1.45,1.44818,0.0,0.0013,MO,2025-12-31 17:01:34.648565
2024-12-31,2.83,2.80985,0.02,0.0072000003,ETN,2025-12-31 17:01:38.048356
2025-03-31,2.72,2.70502,0.01,0.0055,ETN,2025-12-31 17:01:38.048356
2025-06-30,2.95,2.92238,0.03,0.0095,ETN,2025-12-31 17:01:38.048356
2025-09-30,3.07,3.05448,0.02,0.0050999997,ETN,2025-12-31 17:01:38.048356
2024-12-31,2.86,2.84087,0.02,0.0067000003,APD,2025-12-31 17:01:41.432787
2025-03-31,2.69,2.82737,-0.14,-0.048600003,APD,2025-12-31 17:01:41.432787
2025-06-30,3.09,2.99319,0.1,0.0323,APD,2025-12-31 17:01:41.432787
2025-09-30,3.39,3.38241,0.01,0.0022,APD,2025-12-31 17:01:41.432787
2024-12-31,1.07,1.05196,0.02,0.0171,USB,2025-12-31 17:01:44.778566
2025-03-31,1.03,0.97452,0.06,0.056900002,USB,2025-12-31 17:01:44.778566
2025-06-30,1.11,1.06671,0.04,0.040599998,USB,2025-12-31 17:01:44.778566
2025-09-30,1.22,1.11906,0.1,0.09020001,USB,2025-12-31 17:01:44.778566
2024-12-31,1.68,1.53673,0.14,0.0932,MMM,2025-12-31 17:01:48.117479
2025-03-31,1.88,1.7666,0.11,0.0642,MMM,2025-12-31 17:01:48.117479
2025-06-30,2.16,2.01173,0.15,0.073699996,MMM,2025-12-31 17:01:48.117479
2025-09-30,2.19,2.07379,0.12,0.055999998,MMM,2025-12-31 17:01:48.117479
2025-01-31,2.41,2.25134,0.16,0.0705,TGT,2025-12-31 17:01:51.611042
2025-04-30,1.3,1.65123,-0.35,-0.21270001,TGT,2025-12-31 17:01:51.611042
2025-07-31,2.05,2.03342,0.02,0.0082,TGT,2025-12-31 17:01:51.611042
2025-10-31,1.78,1.71013,0.07,0.040900003,TGT,2025-12-31 17:01:51.611042
2024-12-31,0.38,0.41937,-0.04,-0.0939,CSX,2025-12-31 17:01:55.900780
2025-03-31,0.34,0.36532,-0.03,-0.069299996,CSX,2025-12-31 17:01:55.900780
2025-06-30,0.44,0.41748,0.02,0.0539,CSX,2025-12-31 17:01:55.900780
