period,avg,low,high,yearAgoEps,numberOfAnalysts,growth,ticker,fetch_date
+1y,7.15377,6.6,7.94764,6.87886,30,0.04,UPS,2025-12-31 16:58:50.456328
0q,1.67501,1.51,2.23,1.67,19,0.003,BMY,2025-12-31 16:58:54.133087
+1q,1.436,0.96,1.86,1.8,10,-0.2022,BMY,2025-12-31 16:58:54.133087
0y,6.53947,6.4,6.68487,1.15,25,4.6865,BMY,2025-12-31 16:58:54.133087
+1y,5.99551,5.4,7.27,6.53947,27,-0.0832,BMY,2025-12-31 16:58:54.133087
0q,1.47096,1.4,1.6211,1.54,18,-0.0448,RTX,2025-12-31 16:58:57.646366
+1q,1.51846,1.41622,1.66292,1.47,10,0.033,RTX,2025-12-31 16:58:57.646366
0y,6.20462,6.12027,6.36,5.73,22,0.0828,RTX,2025-12-31 16:58:57.646366
+1y,6.7729,6.5,7.25171,6.20462,21,0.0916,RTX,2025-12-31 16:58:57.646366
0q,2.56896,2.51867,2.62,2.47,18,0.0401,HON,2025-12-31 16:59:01.209092
+1q,2.39464,2.28,2.55,2.51,12,-0.046,HON,2025-12-31 16:59:01.209092
0y,10.57236,9.78,10.7,9.89,19,0.069,HON,2025-12-31 16:59:01.209092
+1y,10.57421,9.51407,11.09,10.57236,23,0.0002,HON,2025-12-31 16:59:01.209092
0q,2.91464,2.75,3.04,2.91,13,0.0016,UNP,2025-12-31 16:59:04.705104
+1q,2.89167,2.83,2.95,2.7,6,0.071,UNP,2025-12-31 16:59:04.705104
0y,11.78092,11.59,11.91,11.09,15,0.0623,UNP,2025-12-31 16:59:04.705104
+1y,12.57385,12.21,13.05,11.78092,16,0.0673,UNP,2025-12-31 16:59:04.705104
0q,3.39521,3.1,3.51,3.41,25,-0.0043,QCOM,2025-12-31 16:59:08.251408
+1q,2.89708,2.58,3.04,2.85,24,0.0165,QCOM,2025-12-31 16:59:08.251408
0y,12.0957,10.69,13.25,12.03,29,0.0055,QCOM,2025-12-31 16:59:08.251408
+1y,12.43154,10.2,14.78,12.0957,30,0.0278,QCOM,2025-12-31 16:59:08.251408
0q,4.74323,4.05,5.74,5.31,25,-0.1067,AMGN,2025-12-31 16:59:11.722315
+1q,5.04091,4.41,6.55,4.9,11,0.028800001,AMGN,2025-12-31 16:59:11.722315
0y,21.25532,20.6,22.3,19.84,31,0.0713,AMGN,2025-12-31 16:59:11.722315
+1y,21.93751,20.33,24.49,21.25532,31,0.0321,AMGN,2025-12-31 16:59:11.722315
0q,1.9534,1.89,2.18,1.93,28,0.0121,LOW,2025-12-31 16:59:15.227749
+1q,3.07623,2.93,3.26,2.92,21,0.0535,LOW,2025-12-31 16:59:15.227749
0y,12.25911,11.96,12.44775,11.99,29,0.0224,LOW,2025-12-31 16:59:15.227749
+1y,12.98351,12.55,13.77,12.25911,31,0.0591,LOW,2025-12-31 16:59:15.227749
0q,-0.41495,-1.42,0.3,-5.9,20,0.9297,BA,2025-12-31 16:59:18.710119
+1q,0.05813,-0.55,0.45,-0.49,12,1.1186,BA,2025-12-31 16:59:18.710119
0y,-9.62487,-10.62,-8.9,-20.38,23,0.5277,BA,2025-12-31 16:59:18.710119
+1y,2.33866,1.17,4.38,-9.62487,20,1.243,BA,2025-12-31 16:59:18.710119
0q,2.42625,2.10127,2.61,2.22,15,0.0929,MS,2025-12-31 16:59:22.187316
+1q,2.84157,2.62,3.05,2.6,12,0.0929,MS,2025-12-31 16:59:22.187316
0y,9.91514,9.62745,10.14,7.95,21,0.2472,MS,2025-12-31 16:59:22.187316
+1y,10.6076,9.54,11.5,9.91514,22,0.0698,MS,2025-12-31 16:59:22.187316
0q,1.37191,1.02,2.61,1.98,16,-0.3071,COP,2025-12-31 16:59:25.588143
+1q,1.42147,1.03,1.92,2.09,16,-0.3199,COP,2025-12-31 16:59:25.588143
0y,6.52373,6.17,7.53,7.79,21,-0.1626,COP,2025-12-31 16:59:25.588143
+1y,6.23023,4.51,10.03,6.52373,21,-0.045,COP,2025-12-31 16:59:25.588143
0q,4.27653,4.19,4.52,3.77,21,0.1344,SPGI,2025-12-31 16:59:29.110175
+1q,4.89584,4.78761,4.98,4.37,19,0.120299995,SPGI,2025-12-31 16:59:29.110175
0y,17.81102,17.72,18.05,15.7,23,0.1345,SPGI,2025-12-31 16:59:29.110175
+1y,19.82995,19.25299,20.2,17.81102,24,0.113400005,SPGI,2025-12-31 16:59:29.110175
0q,0.59433,0.494,0.664,0.69,28,-0.1387,SBUX,2025-12-31 16:59:32.355650
+1q,0.42002,0.28,0.51,0.41,28,0.024400001,SBUX,2025-12-31 16:59:32.355650
0y,2.37647,2.19,2.6135,2.13,34,0.1157,SBUX,2025-12-31 16:59:32.355650
+1y,3.00532,2.63,3.41,2.37647,32,0.26459998,SBUX,2025-12-31 16:59:32.355650
0q,4.64358,4.18,5.15,5.14,21,-0.096599996,CAT,2025-12-31 16:59:36.017222
+1q,4.44267,3.48,5.02,4.25,16,0.045300003,CAT,2025-12-31 16:59:36.017222
0y,18.65362,17.97,19.54,21.9,25,-0.14819999,CAT,2025-12-31 16:59:36.017222
+1y,22.34487,19.73,25.99,18.65362,27,0.19790001,CAT,2025-12-31 16:59:36.017222
0q,1.43475,1.22,1.65672,1.32,17,0.086899996,GE,2025-12-31 16:59:39.528463
+1q,1.60933,1.49,1.66619,1.49,11,0.0801,GE,2025-12-31 16:59:39.528463
0y,6.24025,6.02,6.45591,4.6,19,0.3566,GE,2025-12-31 16:59:39.528463
+1y,7.20893,6.59,7.62866,6.24025,19,0.1552,GE,2025-12-31 16:59:39.528463
0q,12.70728,12.28642,13.356,11.93,13,0.0652,BLK,2025-12-31 16:59:42.789466
+1q,12.35232,11.684,13.52,11.3,12,0.093100004,BLK,2025-12-31 16:59:42.789466
0y,47.67244,46.56,48.3,43.61,15,0.0932,BLK,2025-12-31 16:59:42.789466
+1y,53.7312,50.2,56.58,47.67244,16,0.1271,BLK,2025-12-31 16:59:42.789466
0q,1.31036,1.29,1.35,1.09,34,0.2022,AMD,2025-12-31 16:59:46.381337
+1q,1.19725,1.0,1.4,0.96,34,0.2471,AMD,2025-12-31 16:59:46.381337
